{58}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1980],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1981],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1982],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1983],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1984],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1985],[1],[6],[1]}
{59}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1980],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1981],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1982],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1983],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1984],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1985],[1],[6],[1]}
{60}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1980],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1981],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1982],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1983],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1984],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1985],[1],[6],[1]}
{61}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1980],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1981],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1982],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1983],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1984],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1985],[1],[6],[1]}
{62}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1980],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1981],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1982],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1983],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1984],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1985],[1],[6],[1]}
{63}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1980],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1981],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1982],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1983],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1984],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1985],[1],[6],[1]}
{64}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1980],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1981],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1982],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1983],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1984],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1985],[1],[6],[1]}
{65}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1980],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1981],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1982],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1983],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1984],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1985],[1],[6],[1]}
{66}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1980],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1981],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1982],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1983],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1984],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1985],[1],[6],[1]}
{67}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1980],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1981],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1982],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1983],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1984],[1],[6],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[1985],[1],[6],[1]}
